"","folder","ess_likelihood","tree","best_or_gen"
"285","data/0.2-0-0.5-0.1/91",901,"true","gen"
"286","data/0.2-0-0.5-0.1/91",901,"true","best"
"287","data/0.2-0-0.5-0.1/91",901,"twin","gen"
"288","data/0.2-0-0.5-0.1/91",901,"twin","best"
"289","data/0.2-0-0.5-0.1/92",565,"true","gen"
"290","data/0.2-0-0.5-0.1/92",901,"true","best"
"291","data/0.2-0-0.5-0.1/92",702,"twin","gen"
"292","data/0.2-0-0.5-0.1/92",792,"twin","best"
"293","data/0.2-0-0.5-0.1/93",901,"true","gen"
"294","data/0.2-0-0.5-0.1/93",808,"true","best"
"295","data/0.2-0-0.5-0.1/93",901,"twin","gen"
"296","data/0.2-0-0.5-0.1/93",901,"twin","best"
"297","data/0.2-0-0.5-0.1/94",757,"true","gen"
"298","data/0.2-0-0.5-0.1/94",811,"true","best"
"299","data/0.2-0-0.5-0.1/94",3,"twin","gen"
"300","data/0.2-0-0.5-0.1/94",86,"twin","best"
"301","data/0.2-0-0.5-0.1/95",901,"true","gen"
"302","data/0.2-0-0.5-0.1/95",901,"true","best"
"303","data/0.2-0-0.5-0.1/95",613,"twin","gen"
"304","data/0.2-0-0.5-0.1/95",901,"twin","best"
"305","data/0.2-0-0.5-0.1/96",901,"true","gen"
"306","data/0.2-0-0.5-0.1/96",715,"true","best"
"307","data/0.2-0-0.5-0.1/96",847,"twin","gen"
"308","data/0.2-0-0.5-0.1/96",901,"twin","best"
"309","data/0.2-0-0.5-0.1/97",901,"true","gen"
"310","data/0.2-0-0.5-0.1/97",876,"true","best"
"311","data/0.2-0-0.5-0.1/97",901,"twin","gen"
"312","data/0.2-0-0.5-0.1/97",614,"twin","best"
"313","data/0.2-0-0.5-0.1/98",678,"true","gen"
"314","data/0.2-0-0.5-0.1/98",901,"true","best"
"315","data/0.2-0-0.5-0.1/98",901,"twin","gen"
"316","data/0.2-0-0.5-0.1/98",901,"twin","best"
"317","data/0.2-0-0.5-0.1/99",811,"true","gen"
"318","data/0.2-0-0.5-0.1/99",855,"true","best"
"319","data/0.2-0-0.5-0.1/99",901,"twin","gen"
"320","data/0.2-0-0.5-0.1/99",663,"twin","best"
"321","data/0.2-0-0.5-0.15/321",901,"true","gen"
"322","data/0.2-0-0.5-0.15/321",838,"true","best"
"323","data/0.2-0-0.5-0.15/321",805,"twin","gen"
"324","data/0.2-0-0.5-0.15/321",683,"twin","best"
"325","data/0.2-0-0.5-0.15/322",901,"true","gen"
"326","data/0.2-0-0.5-0.15/322",813,"true","best"
"327","data/0.2-0-0.5-0.15/322",838,"twin","gen"
"328","data/0.2-0-0.5-0.15/322",901,"twin","best"
"329","data/0.2-0-0.5-0.15/323",901,"true","gen"
"330","data/0.2-0-0.5-0.15/323",747,"true","best"
"331","data/0.2-0-0.5-0.15/323",804,"twin","gen"
"332","data/0.2-0-0.5-0.15/323",901,"twin","best"
"333","data/0.2-0-0.5-0.15/324",901,"true","gen"
"334","data/0.2-0-0.5-0.15/324",901,"true","best"
"335","data/0.2-0-0.5-0.15/324",810,"twin","gen"
"336","data/0.2-0-0.5-0.15/324",843,"twin","best"
"337","data/0.2-0-0.5-0.15/325",712,"true","gen"
"338","data/0.2-0-0.5-0.15/325",829,"true","best"
"339","data/0.2-0-0.5-0.15/325",697,"twin","gen"
"340","data/0.2-0-0.5-0.15/325",794,"twin","best"
"341","data/0.2-0-0.5-0.15/326",901,"true","gen"
"342","data/0.2-0-0.5-0.15/326",901,"true","best"
"343","data/0.2-0-0.5-0.15/326",850,"twin","gen"
"344","data/0.2-0-0.5-0.15/326",901,"twin","best"
"345","data/0.2-0-0.5-0.15/327",901,"true","gen"
"346","data/0.2-0-0.5-0.15/327",828,"true","best"
"347","data/0.2-0-0.5-0.15/327",901,"twin","gen"
"348","data/0.2-0-0.5-0.15/327",790,"twin","best"
"349","data/0.2-0-0.5-0.15/328",630,"true","gen"
"350","data/0.2-0-0.5-0.15/328",901,"true","best"
"351","data/0.2-0-0.5-0.15/328",901,"twin","gen"
"352","data/0.2-0-0.5-0.15/328",736,"twin","best"
"353","data/0.2-0-0.5-0.15/329",751,"true","gen"
"354","data/0.2-0-0.5-0.15/329",703,"true","best"
"355","data/0.2-0-0.5-0.15/329",832,"twin","gen"
